綜合評分,日文店名,英文店名,Blog
4.10,茶寮 宮坂,Saryoumiyasaka,https://tabelog.com/tw/tokyo/A1307/A130701/13216329/
4.09,Homemade Ramen 麦苗,Homemade Ramen Muginae,https://tabelog.com/tw/tokyo/A1315/A131502/13194812/
4.09,とく山,Tokuyama,https://tabelog.com/tw/tokyo/A1307/A130703/13002088/
4.09,ARMONICO,ARMONICO,https://tabelog.com/tw/tokyo/A1303/A130303/13156479/
4.08,センス,SENSE,https://tabelog.com/tw/tokyo/A1302/A130202/13020361/
4.08,ラ・ボンヌターブル,LA BONNE TABLE,https://tabelog.com/tw/tokyo/A1302/A130202/13166325/
4.08,パティスリー リョーコ,PÂTISSERIE RYOCO,https://tabelog.com/tw/tokyo/A1316/A131603/13137010/
4.08,sincere,Sincere,https://tabelog.com/tw/tokyo/A1309/A130901/13194253/
4.08,スリオラ,ZURRIOLA,https://tabelog.com/tw/tokyo/A1301/A130101/13125046/
4.08,海鮮名菜　香宮,SHANGU,https://tabelog.com/tw/tokyo/A1307/A130701/13132399/
4.08,神楽坂　鉄板焼 中むら,Kakugazakateppanyakinakamura,https://tabelog.com/tw/tokyo/A1309/A130905/13134663/
4.07,トマト,Tomato,https://tabelog.com/tw/tokyo/A1319/A131906/13001113/
4.07,銀座 鮨 かねさか 本店,Ginza Sushi KANESAKA,https://tabelog.com/tw/tokyo/A1301/A130103/13005003/
4.07,レストラン クレッセント,RESTAURANT CRESCENT,https://tabelog.com/tw/tokyo/A1314/A131401/13001521/
4.07,鮨 由う,Yu,https://tabelog.com/tw/tokyo/A1307/A130701/13201640/
4.07,日本橋 蕎ノ字,nihombashisonoji,https://tabelog.com/tw/tokyo/A1302/A130204/13201969/
4.07,南青山 七鳥目,minamiaoyamananachoume,https://tabelog.com/tw/tokyo/A1307/A130703/13200559/
4.06,エール,Air,https://tabelog.com/tw/tokyo/A1301/A130101/13186624/
4.06,イル プレージョ,Il Pregio,https://tabelog.com/tw/tokyo/A1318/A131811/13147391/
4.06,プリズマ,PRISMA,https://tabelog.com/tw/tokyo/A1306/A130602/13123890/
4.06,多仁本,Tanimoto,https://tabelog.com/tw/tokyo/A1309/A130903/13207060/
4.05,みかわ 是山居,Mikawa Zezankyo,https://tabelog.com/tw/tokyo/A1313/A131303/13090866/
4.05,ル・マンジュ・トゥー,Le Mange-Tout,https://tabelog.com/tw/tokyo/A1309/A130905/13000469/
4.05,Ode,Ode,https://tabelog.com/tw/tokyo/A1307/A130703/13213368/
4.05,すし佐竹,Sushisatake,https://tabelog.com/tw/tokyo/A1313/A131301/13204429/
4.05,青華こばやし,Seikakobayashi,https://tabelog.com/tw/tokyo/A1309/A130903/13193077/
4.04,ジェラテリア アクオリーナ,GELATERIA ACQUOLINA,https://tabelog.com/tw/tokyo/A1317/A131701/13141364/
